Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
馬名,シンボリクリスエス,ツルマルボーイ,テンザンセイザ,エイシンプレストン,カンファーベスト,サンライズペガサス,ファストタテヤマ,ロサード,イーグルカフェ,ダービーレグノ,ヤマノブリザード,トーセンダンディ,ローエングリン,トーホウシデン,トレジャー,モノポライザー,アグネスデジタル,ゴーステディ
騎手名,ペリエ,横山典弘,藤田伸二,福永祐一,安藤勝己,柴田善臣,安田康彦,武幸四郎,田中勝春,幸英明,勝浦正樹,江田照男,後藤浩輝,蛯名正義,五十嵐冬,武豊,四位洋文,吉田豊
枠順,18,7,4,2,12,1,10,9,16,6,17,3,5,15,14,8,11,13
走破タイム,1:58.0,1:58.2,1:58.4,1:58.5,1:58.6,1:58.7,1:58.8,1:59.0,1:59.0,1:59.1,1:59.1,1:59.2,1:59.7,1:59.8,2:00.1,2:00.1,2:00.4,2:02.7
オッズ,2.7,9.6,31.0,7.5,22.2,46.7,24.0,87.6,52.2,38.7,197.6,169.8,5.6,20.4,207.0,10.6,7.9,123.1
通過順位,8-8-7,18-18-18,5-5-6,5-5-4,4-4-4,9-8-7,15-13-11,14-15-16,10-8-10,15-15-16,12-13-11,3-3-3,1-1-1,5-7-7,15-15-11,12-11-11,10-11-11,2-2-2
馬体重,534(+10),460(+2),482(+2),480(-6),466(0),488(+6),454(0),430(-6),464(+2),452(-6),516(+4),512(-2),478(0),428(-2),520(+2),454(0),468(-3),514(+4)
性齢,牡4,牡5,牡5,牡6,牡4,牡5,牡4,牡7,牡6,牡5,牡4,牡5,牡4,牡6,牡5,牡4,牡6,牡6
斤量,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58
上がり3ハロン,33.6,33.1,34.2,34.4,34.6,34.4,34.2,34.1,34.5,34.3,34.5,35.7,38.8,35.4,35.5,35.5,35.8,41.2
人気,1,5,10,3,8,12,9,14,13,11,17,16,2,7,18,6,4,15
芝適性,9,4,2,6,7,2,5,6,57,4,28,17,15,5,16,14,58,4
距離適性,71,59,57,44,61,61,105,56,46,58,56,62,48,78,69,44,49,55
脚質,87,113,105,99,77,106,112,111,101,103,86,13,10,69,40,99,102,6
成長,72,92,59,64,92,78,67,65,58,61,33,85,63,67,56,33,78,73
馬場適性,56,82,63,57,40,77,58,71,34,36,50,43,45,47,34,86,11,66
総合評価,4.38,3.75,3.5,4.17,4.17,3.5,3.25,3.88,3.5,3.25,3.0,,3.67,3.33,,2.33,4.3,
実績評価,4.38,3.75,3.5,4.17,4.17,3.5,3.25,3.88,3.5,3.25,3.0,,3.67,3.33,,2.33,4.3,
ポテンシャル評価,4.38,3.75,3.0,4.25,4.0,3.5,2.83,2.75,3.07,3.25,3.0,,3.42,3.0,,2.33,4.41,
