Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
馬名,ブエナビスタ,ペルーサ,アーネストリー,オウケンサクラ,ネヴァブション,シンゲン,トウショウシロッコ,スマイルジャック,アクシオン,ヤマニンキングリー,スーパーホーネット,シルポート,キャプテントゥーレ,アリゼオ,コスモファントム,ショウワモダン,エイシンアポロン,ジャガーメイル
騎手名,スミヨン,安藤勝己,佐藤哲三,北村宏司,後藤浩輝,藤田伸二,吉田豊,三浦皇成,武豊,吉田隼人,藤岡佑介,酒井学,小牧太,福永祐一,松岡正海,柴田善臣,蛯名正義,ホワイト
枠順,2,7,12,5,14,10,9,6,11,13,15,8,16,18,17,1,4,3
走破タイム,1:58.2,1:58.5,1:58.7,1:58.9,1:58.9,1:59.0,1:59.3,1:59.4,1:59.4,1:59.4,1:59.5,1:59.9,2:00.1,2:00.2,2:00.4,2:00.6,2:00.6,2:00.3
オッズ,2.2,8.9,4.9,119.8,43.8,8.3,116.9,55.4,33.9,108.2,27.6,80.7,28.4,24.9,124.1,48.9,26.6,14.6
通過順位,9-8-8,17-17-17,4-4-4,2-2-2,11-10-10,11-10-13,13-14-14,4-6-6,17-18-18,7-8-8,16-14-14,1-1-1,2-2-2,7-6-6,4-4-4,13-14-14,9-10-11,13-13-11
馬体重,456(-4),502(-4),530(0),492(-12),492(+6),494(-2),478(+12),494(+6),530(+4),482(+12),476(+2),488(+2),464(+8),526(+6),492(+2),518(+4),502(0),484(+12)
性齢,牝4,牡3,牡5,牝3,牡7,牡7,牡7,牡5,牡7,牡5,牡7,牡5,牡5,牡3,牡3,牡6,牡3,牡6
斤量,56,56,58,54,58,58,58,58,58,58,58,58,58,56,56,58,56,58
上がり3ハロン,34.1,33.6,34.8,35.2,34.7,34.6,34.7,35.4,34.4,35.3,34.9,36.6,36.4,36.2,36.6,36.1,36.3,36.0
人気,1,4,2,17,11,3,16,13,10,15,8,14,9,6,18,12,7,5
芝適性,5,6,7,7,11,10,11,10,23,26,7,7,14,16,46,25,16,2
距離適性,64,69,62,53,90,64,60,56,71,60,32,42,44,61,58,39,42,99
脚質,108,100,23,28,83,61,75,56,75,66,98,8,19,35,10,35,34,105
成長,48,64,82,51,85,95,58,59,84,63,64,75,47,61,60,80,43,94
馬場適性,54,54,59,54,49,43,57,50,45,53,50,36,50,28,44,24,31,48
総合評価,4.31,3.52,4.12,3.1,3.38,3.5,3.33,3.86,3.5,3.45,3.83,3.46,3.62,3.67,3.56,3.5,3.77,3.77
実績評価,4.31,3.52,4.12,3.1,3.38,3.5,3.33,3.86,3.5,3.45,3.83,3.46,3.62,3.67,3.56,3.5,3.77,3.77
ポテンシャル評価,4.38,2.96,3.95,3.1,3.5,3.17,3.33,3.69,3.5,3.55,3.58,3.06,3.75,3.5,3.39,3.5,3.65,3.82
前走レース名,"<a href=""/race/201009030410/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/201005040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/201001010409/"" title=""札幌記念(G2)"">札幌記念(G2)</a>","<a href=""/race/201008050411/"" title=""秋華賞(G1)"">秋華賞(G1)</a>","<a href=""/race/201005040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/201006040611/"" title=""産経賞オールカマー(G2)"">産経賞オールカマー(G2)</a>","<a href=""/race/201006040611/"" title=""産経賞オールカマー(G2)"">産経賞オールカマー(G2)</a>","<a href=""/race/201005040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/201001010409/"" title=""札幌記念(G2)"">札幌記念(G2)</a>","<a href=""/race/201001010409/"" title=""札幌記念(G2)"">札幌記念(G2)</a>","<a href=""/race/201005030611/"" title=""安田記念(G1)"">安田記念(G1)</a>","<a href=""/race/201005040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/201009040110/"" title=""朝日チャレンジC(G3)"">朝日チャレンジC(G3)</a>","<a href=""/race/201005040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/201046100510/"" title=""白山大賞典(G3)"">白山大賞典(G3)</a>","<a href=""/race/201005040511/"" title=""富士S(G3)"">富士S(G3)</a>","<a href=""/race/201005040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/201009030410/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>"
前走オッズ,2.4,2.4,2.4,18.3,18.7,7.3,14.6,6.3,18.1,23.3,12.1,8.1,3.1,15.8,2.1,8.9,18.1,5.1
前走成績,2,5,1,11,3,1,3,4,3,14,2,7,1,1,3,14,2,8
2走前レース名,"<a href=""/race/201005020811/"" title=""ヴィクトリアマイル(G1)"">ヴィクトリアマイル(G1)</a>","<a href=""/race/201005030410/"" title=""東京優駿(G1)"">東京優駿(G1)</a>","<a href=""/race/201009030410/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/201009040310/"" title=""関西TVローズS(G2)"">関西TVローズS(G2)</a>","<a href=""/race/201009030410/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/200905040811/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/201004030611/"" title=""新潟記念(G3)"">新潟記念(G3)</a>","<a href=""/race/201005030611/"" title=""安田記念(G1)"">安田記念(G1)</a>","<a href=""/race/201009030410/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/2010M0a00110/"" title=""シンガポール航空国際(G1)"">シンガポール航空国際(G1)</a>","<a href=""/race/201009020710/"" title=""読売マイラーズC(G2)"">読売マイラーズC(G2)</a>","<a href=""/race/201006040611/"" title=""産経賞オールカマー(G2)"">産経賞オールカマー(G2)</a>","<a href=""/race/201005030611/"" title=""安田記念(G1)"">安田記念(G1)</a>","<a href=""/race/201005030410/"" title=""東京優駿(G1)"">東京優駿(G1)</a>","<a href=""/race/201044071411/"" title=""ジャパンダートダービ(G1)"">ジャパンダートダービ(G1)</a>","<a href=""/race/201005040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/201005020611/"" title=""NHKマイルC(G1)"">NHKマイルC(G1)</a>","<a href=""/race/201008030410/"" title=""天皇賞(春)(G1)"">天皇賞(春)(G1)</a>"
2走前オッズ,1.5,2.6,6.4,5.4,48.4,7.4,28.8,10.5,46.5,,4.8,7.1,7.2,28.2,8.5,4.9,11.5,5.9
2走前成績,1,6,3,8,5,5,2,3,15,11,9,9,7,13,2,9,9,1
3走前レース名,"<a href=""/race/2010C7a00207/"" title=""ドバイシーマC(G1)"">ドバイシーマC(G1)</a>","<a href=""/race/201005020311/"" title=""テレビ東京杯青葉賞(G2)"">テレビ東京杯青葉賞(G2)</a>","<a href=""/race/201008040310/"" title=""金鯱賞(G2)"">金鯱賞(G2)</a>","<a href=""/race/201005030211/"" title=""優駿牝馬(G1)"">優駿牝馬(G1)</a>","<a href=""/race/2010G0a00108/"" title=""クイーンエリザベス(G1)"">クイーンエリザベス(G1)</a>","<a href=""/race/200906040611/"" title=""産経賞オールカマー(G2)"">産経賞オールカマー(G2)</a>","<a href=""/race/201003020811/"" title=""七夕賞(G3)"">七夕賞(G3)</a>","<a href=""/race/201009020710/"" title=""読売マイラーズC(G2)"">読売マイラーズC(G2)</a>","<a href=""/race/201008040310/"" title=""金鯱賞(G2)"">金鯱賞(G2)</a>","<a href=""/race/201009020410/"" title=""産経大阪杯(G2)"">産経大阪杯(G2)</a>","<a href=""/race/201005010811/"" title=""フェブラリーS(G1)"">フェブラリーS(G1)</a>","<a href=""/race/201005030811/"" title=""エプソムC(G3)"">エプソムC(G3)</a>","<a href=""/race/201009020710/"" title=""読売マイラーズC(G2)"">読売マイラーズC(G2)</a>","<a href=""/race/201006030811/"" title=""皐月賞(G1)"">皐月賞(G1)</a>","<a href=""/race/201005030410/"" title=""東京優駿(G1)"">東京優駿(G1)</a>","<a href=""/race/201005030611/"" title=""安田記念(G1)"">安田記念(G1)</a>","<a href=""/race/201006030811/"" title=""皐月賞(G1)"">皐月賞(G1)</a>","<a href=""/race/201008020711/"" title=""京都記念(G2)"">京都記念(G2)</a>"
